CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,DateTime,Hour,DayOfWeek,Month,IsWeekend,Hour_sin,Hour_cos,DoW_sin,DoW_cos,Month_sin,Month_cos,NO2GT_lag_1h,NO2GT_lag_2h,NO2GT_lag_3h,NO2GT_lag_6h,NO2GT_lag_12h,NO2GT_lag_24h,COGT_lag_1h,COGT_lag_3h,COGT_lag_24h,NOxGT_lag_1h,NOxGT_lag_24h,T_lag_1h,T_lag_24h,RH_lag_1h,RH_lag_24h,NO2GT_rolling_3h_mean,NO2GT_rolling_6h_mean,NO2GT_rolling_24h_mean,NO2GT_rolling_24h_std,COGT_rolling_3h_mean,COGT_rolling_24h_mean,T_rolling_3h_mean,T_rolling_24h_mean,NO2GT_change_1h,NO2GT_change_3h,AQI_category,AQI_label
3.5,1424.5,15.187991985721863,1154.5,185.0,709.25,110.0,1935.75,1788.75,17.775000095367,66.750001907349,1.345959864201086,2004-01-05 00:00:00,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,0.49999999999999994,0.8660254037844387,103.0,113.0,124.0,132.0,73.0,86.0,2.0,2.5,1.6,122.0,96.0,14.899999856949,11.950000047684,52.000000953674,61.624999046326,108.66666666666667,129.16666666666666,96.0,33.21209837184139,2.5,2.629166666666667,16.166666666666668,16.547916584544627,7.0,-14.0,2,Poor
2.4,1179.0,9.293399930759756,950.75,129.0,825.75,84.0,1723.5,1322.5,17.275000095367,68.27499961853,1.3345848697226224,2004-01-05 01:00:00,1.0,0.0,1.0,0,0.25881904510252074,0.9659258262890683,0.0,1.0,0.49999999999999994,0.8660254037844387,110.0,103.0,113.0,164.0,73.0,70.0,3.5,2.0,1.2,185.0,85.0,17.775000095367,11.499999761581,66.750001907349,63.875,99.0,115.83333333333333,96.58333333333333,32.8566275051852,2.6333333333333333,2.6791666666666667,16.650000015894335,16.788541598452372,-26.0,-29.0,1,Moderate
1.6,1046.75,6.462705341030986,833.0,85.0,939.25,71.0,1647.25,1081.0,16.525000095367,70.224998474121,1.3099186335166972,2004-01-05 02:00:00,2.0,0.0,1.0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0.49999999999999994,0.8660254037844387,84.0,110.0,103.0,161.0,72.0,55.0,2.4,2.0,1.1,129.0,50.0,17.275000095367,10.674999952316,68.27499961853,67.224998474121,88.33333333333333,100.83333333333333,97.25,32.130508324914366,2.5,2.6999999999999997,17.191666762033666,17.032291604412833,-13.0,-32.0,1,Moderate
1.3,1009.25,6.280933632518836,824.75,85.0,950.0,71.0,1628.5,937.75,15.650000095367,73.075000762939,1.2902305208881812,2004-01-05 03:00:00,3.0,0.0,1.0,0,0.7071067811865476,0.7071067811865476,0.0,1.0,0.49999999999999994,0.8660254037844387,71.0,84.0,110.0,124.0,81.0,55.0,1.6,3.5,0.9,85.0,50.0,16.525000095367,8.974999666214,70.224998474121,73.10000038147,75.33333333333333,92.0,97.91666666666667,31.37281662822778,1.7666666666666666,2.716666666666667,16.483333428700334,17.31041662229421,0.0,-39.0,1,Moderate
1.3,882.25,3.542514346206186,684.75,35.0,1133.5,42.0,1492.0,672.75,16.174999952316,69.89999961853,1.2755733418332384,2004-01-05 04:00:00,4.0,0.0,1.0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,0.49999999999999994,0.8660254037844387,71.0,71.0,84.0,113.0,93.0,49.0,1.3,2.4,0.7,85.0,57.0,15.650000095367,10.225000143051,73.075000762939,66.574999809265,61.333333333333336,80.16666666666667,97.625,31.87586315966852,1.4000000000000001,2.7416666666666667,16.11666671435,17.558333281013585,-29.0,-42.0,1,Moderate
0.6,858.0,2.566706973107863,624.0,24.0,1205.25,32.0,1434.25,543.0,16.650000095367,67.124999046326,1.2619229465477226,2004-01-05 05:00:00,5.0,0.0,1.0,0,0.9659258262890683,0.25881904510252074,0.0,1.0,0.49999999999999994,0.8660254037844387,42.0,71.0,71.0,103.0,106.0,50.0,1.3,1.6,0.9,35.0,64.0,16.174999952316,10.950000047684,69.89999961853,63.699998855591,48.333333333333336,68.33333333333333,96.875,33.22821286850652,1.0666666666666667,2.7291666666666665,16.158333381016664,17.795833283000377,-10.0,-39.0,0,Good
0.7,874.5,3.104478541444618,658.5,30.0,1180.0,35.0,1451.75,561.25,16.724999904633,66.874998092651,1.2631312913600283,2004-01-05 06:00:00,6.0,0.0,1.0,0,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387,32.0,42.0,71.0,110.0,132.0,67.0,0.6,1.3,1.7,24.0,153.0,16.650000095367,9.625,67.124999046326,68.775001525879,36.333333333333336,55.833333333333336,95.54166666666667,35.07009027482047,0.8666666666666667,2.6875,16.516666650772,18.091666612360083,3.0,-36.0,0,Good
1.2,1012.0,6.451625978003892,832.5,75.0,915.75,67.0,1632.25,861.75,16.875000476837,66.549999237061,1.2688256915163194,2004-01-05 07:00:00,7.0,0.0,1.0,0,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,0.8660254037844387,35.0,32.0,42.0,84.0,164.0,94.0,0.7,1.3,4.2,30.0,342.0,16.724999904633,9.5,66.874998092651,69.60000038147,44.666666666666664,53.0,94.41666666666667,35.55145281280989,0.8333333333333334,2.5624999999999996,16.750000158945667,18.398958298894957,32.0,25.0,1,Moderate
1.5,1049.25,6.534918634306473,836.25,79.0,926.0,73.0,1615.0,900.75,17.724999427795,61.97500038147,1.245804234450369,2004-01-05 08:00:00,8.0,0.0,1.0,0,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.49999999999999994,0.8660254037844387,67.0,35.0,32.0,71.0,161.0,119.0,1.2,0.6,6.2,75.0,378.0,16.875000476837,11.875,66.549999237061,60.925001144409,58.333333333333336,53.333333333333336,92.5,35.408178863573056,1.133333333333333,2.3666666666666667,17.108333269754997,18.642708275053085,6.0,41.0,1,Moderate
1.8,1131.0,8.81989445253267,932.25,104.0,854.25,86.0,1692.75,1048.25,19.425000190735,54.574999809265,1.218386356145657,2004-01-05 09:00:00,9.0,0.0,1.0,0,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.49999999999999994,0.8660254037844387,73.0,67.0,35.0,71.0,124.0,139.0,1.5,0.7,4.6,79.0,304.0,17.724999427795,16.225000143051,61.97500038147,48.575000762939,75.33333333333333,55.833333333333336,90.29166666666667,34.00700588519021,1.5,2.25,18.008333365122333,18.77604161037325,13.0,51.0,1,Moderate
